date,underlying,realized_vol_63d
2014-04-01,KYBR,0.19411116658002117
2014-04-02,KYBR,0.186989247000177
2014-04-03,KYBR,0.18889518039249228
2014-04-04,KYBR,0.18714126406118214
2014-04-07,KYBR,0.1955565579918399
2014-04-08,KYBR,0.19619755431506647
2014-04-09,KYBR,0.19214524795701848
2014-04-10,KYBR,0.18990314582719947
2014-04-11,KYBR,0.1865552286454686
2014-04-14,KYBR,0.18906316555493557
2014-04-15,KYBR,0.1899329547047573
2014-04-16,KYBR,0.1872675927769072
2014-04-17,KYBR,0.18049698704215705
2014-04-18,KYBR,0.1825884926852554
2014-04-21,KYBR,0.182509502040813
2014-04-22,KYBR,0.17695107628107423
2014-04-23,KYBR,0.17582573088747622
2014-04-24,KYBR,0.18319130926955382
2014-04-25,KYBR,0.18542897985609663
2014-04-28,KYBR,0.18527883923828015
2014-04-29,KYBR,0.1898686060006835
2014-04-30,KYBR,0.18871124116921634
2014-05-01,KYBR,0.18955515525829042
2014-05-02,KYBR,0.19145866975811318
2014-05-05,KYBR,0.1920771281630121
2014-05-06,KYBR,0.19252936494338158
2014-05-07,KYBR,0.19355470418111356
2014-05-08,KYBR,0.19582021272826358
2014-05-09,KYBR,0.19439914002077316
2014-05-12,KYBR,0.19443420649245027
2014-05-13,KYBR,0.1937821933704626
2014-05-14,KYBR,0.19211295888007437
2014-05-15,KYBR,0.1935544967780841
2014-05-16,KYBR,0.19178149941094993
2014-05-19,KYBR,0.20582775455675326
2014-05-20,KYBR,0.20726843282258336
2014-05-21,KYBR,0.20726635109221014
2014-05-22,KYBR,0.21223855969932062
2014-05-23,KYBR,0.21210319865562405
2014-05-26,KYBR,0.2108562265555064
2014-05-27,KYBR,0.21519366230212839
2014-05-28,KYBR,0.21278014823715324
2014-05-29,KYBR,0.21129706017815622
2014-05-30,KYBR,0.20890393836184537
2014-06-02,KYBR,0.2083816056546602
2014-06-03,KYBR,0.20588872177308234
2014-06-04,KYBR,0.20423042632027869
2014-06-05,KYBR,0.20412902942034533
2014-06-06,KYBR,0.20394135212087527
2014-06-09,KYBR,0.20382040118042732
2014-06-10,KYBR,0.20462579320452504
2014-06-11,KYBR,0.2076430526599097
2014-06-12,KYBR,0.20676319986743713
2014-06-13,KYBR,0.20706011160565918
2014-06-16,KYBR,0.20235537261773007
2014-06-17,KYBR,0.20040906297141925
2014-06-18,KYBR,0.20211008461665655
2014-06-19,KYBR,0.2016455337989758
2014-06-20,KYBR,0.20433068091583956
2014-06-23,KYBR,0.20335072389013523
2014-06-24,KYBR,0.20776418974661093
2014-06-25,KYBR,0.20689021246956504
2014-06-26,KYBR,0.20819654375029756
2014-06-27,KYBR,0.20821589005344612
2014-06-30,KYBR,0.21240051606550325
2014-07-01,KYBR,0.21254621541155447
2014-07-02,KYBR,0.21977044779920035
2014-07-03,KYBR,0.21449958522308354
2014-07-04,KYBR,0.21439419573091642
2014-07-07,KYBR,0.21393585093100695
2014-07-08,KYBR,0.21395902051117954
2014-07-09,KYBR,0.21367574018799623
2014-07-10,KYBR,0.21623782747582226
2014-07-11,KYBR,0.21582588548819828
2014-07-14,KYBR,0.22035477007183668
2014-07-15,KYBR,0.220357004388316
2014-07-16,KYBR,0.22232392115099714
2014-07-17,KYBR,0.22431825323920515
2014-07-18,KYBR,0.22459438656280603
2014-07-21,KYBR,0.22435796360238563
2014-07-22,KYBR,0.21720423622728174
2014-07-23,KYBR,0.21562172822838363
2014-07-24,KYBR,0.21634967471804362
2014-07-25,KYBR,0.21825906864372888
2014-07-28,KYBR,0.2238666319074857
2014-07-29,KYBR,0.22347609303122948
2014-07-30,KYBR,0.22319738422058036
2014-07-31,KYBR,0.2219055087140376
2014-08-01,KYBR,0.2214425310407566
2014-08-04,KYBR,0.2209443708216985
2014-08-05,KYBR,0.22188622174797953
2014-08-06,KYBR,0.222951535915385
2014-08-07,KYBR,0.2257552730976555
2014-08-08,KYBR,0.22848493267003556
2014-08-11,KYBR,0.22872399344612135
2014-08-12,KYBR,0.22765336239470596
2014-08-13,KYBR,0.23487831602881226
2014-08-14,KYBR,0.2206288193733835
2014-08-15,KYBR,0.21983135483732422
2014-08-18,KYBR,0.21980366632228604
2014-08-19,KYBR,0.21712307521960886
2014-08-20,KYBR,0.21707935023600072
2014-08-21,KYBR,0.2189092201383983
2014-08-22,KYBR,0.2141222441632911
2014-08-25,KYBR,0.21263253469884838
2014-08-26,KYBR,0.21318737041951316
2014-08-27,KYBR,0.21370356348069272
2014-08-28,KYBR,0.2124882578928594
2014-08-29,KYBR,0.21273572162195115
2014-09-01,KYBR,0.2105864791796014
2014-09-02,KYBR,0.21068146485430955
2014-09-03,KYBR,0.21077136030092503
2014-09-04,KYBR,0.2089193615836374
2014-09-05,KYBR,0.2052095149758626
2014-09-08,KYBR,0.2070342704419994
2014-09-09,KYBR,0.20744521678627167
2014-09-10,KYBR,0.2072748252626319
2014-09-11,KYBR,0.20705696493645948
2014-09-12,KYBR,0.2081697896906354
2014-09-15,KYBR,0.20524463191957162
2014-09-16,KYBR,0.20490482856474634
2014-09-17,KYBR,0.20402792405648737
2014-09-18,KYBR,0.20643648604272838
2014-09-19,KYBR,0.2020255554414283
2014-09-22,KYBR,0.20552060919785328
2014-09-23,KYBR,0.2121627839169718
2014-09-24,KYBR,0.2119331508556569
2014-09-25,KYBR,0.20718154956558021
2014-09-26,KYBR,0.20911923705852123
2014-09-29,KYBR,0.20327492603552
2014-09-30,KYBR,0.20629950788307455
2014-10-01,KYBR,0.20614189285268375
2014-10-02,KYBR,0.21431602839178807
2014-10-03,KYBR,0.22937481559112552
2014-10-06,KYBR,0.23114415025508295
2014-10-07,KYBR,0.2301345740716734
2014-10-08,KYBR,0.2303290874140986
2014-10-09,KYBR,0.22569992681519482
2014-10-10,KYBR,0.22551245506828027
2014-10-13,KYBR,0.22734458142600267
2014-10-14,KYBR,0.22653027138892984
2014-10-15,KYBR,0.22883134505340483
2014-10-16,KYBR,0.228680933715611
2014-10-17,KYBR,0.22981210430249824
2014-10-20,KYBR,0.23156313631664288
2014-10-21,KYBR,0.2312753594845939
2014-10-22,KYBR,0.22729523394051548
2014-10-23,KYBR,0.22496798652487818
2014-10-24,KYBR,0.22580005805532508
2014-10-27,KYBR,0.2240925959651691
2014-10-28,KYBR,0.2240622736496251
2014-10-29,KYBR,0.22642656352449533
2014-10-30,KYBR,0.22512455001000273
2014-10-31,KYBR,0.2220189377545507
2014-11-03,KYBR,0.2229835767648792
2014-11-04,KYBR,0.21861587761604914
2014-11-05,KYBR,0.21652895048329912
2014-11-06,KYBR,0.21608944465686894
2014-11-07,KYBR,0.21982408127205663
2014-11-10,KYBR,0.21526223216618684
2014-11-11,KYBR,0.21567292381670286
2014-11-12,KYBR,0.21756718771503689
2014-11-13,KYBR,0.2224311394987998
2014-11-14,KYBR,0.22199374458039786
2014-11-17,KYBR,0.22280535238985744
2014-11-18,KYBR,0.2220062809427331
2014-11-19,KYBR,0.22192260461063767
2014-11-20,KYBR,0.22200913235782213
2014-11-21,KYBR,0.2209633571373762
2014-11-24,KYBR,0.22173578564999918
2014-11-25,KYBR,0.2229899467463235
2014-11-26,KYBR,0.22506616086589745
2014-11-27,KYBR,0.22412074577705732
2014-11-28,KYBR,0.2259785603579745
2014-12-01,KYBR,0.2309770393764036
2014-12-02,KYBR,0.23077768167018006
2014-12-03,KYBR,0.2308698198329592
2014-12-04,KYBR,0.2248739994798133
2014-12-05,KYBR,0.22310845661009246
2014-12-08,KYBR,0.22448377057684507
2014-12-09,KYBR,0.2373480554888353
2014-12-10,KYBR,0.23557405155506028
2014-12-11,KYBR,0.23507698392370643
2014-12-12,KYBR,0.23700019852292428
2014-12-15,KYBR,0.2418670865040136
2014-12-16,KYBR,0.24039642671831657
2014-12-17,KYBR,0.2399576347881474
2014-12-18,KYBR,0.23854220711600532
2014-12-19,KYBR,0.233806783910558
2014-12-22,KYBR,0.2369395932469982
2014-12-23,KYBR,0.23690126211003304
2014-12-24,KYBR,0.23348408087778505
2014-12-25,KYBR,0.2313937285627054
2014-12-26,KYBR,0.22656222391653227
2014-12-29,KYBR,0.23564016379008954
2014-12-30,KYBR,0.22852050091662116
2014-12-31,KYBR,0.21302655060225129
2015-01-01,KYBR,0.21289551731044745
2015-01-02,KYBR,0.21329632455096456
2015-01-05,KYBR,0.21235883100049754
2015-01-06,KYBR,0.21242251109326582
2015-01-07,KYBR,0.21244662114042595
2015-01-08,KYBR,0.20562218236083493
2015-01-09,KYBR,0.2069755992450543
2015-01-12,KYBR,0.20444833193335882
2015-01-13,KYBR,0.20458769909552438
2015-01-14,KYBR,0.20619420927194154
2015-01-15,KYBR,0.204713452264143
2015-01-16,KYBR,0.2065256863003415
2015-01-19,KYBR,0.20633063365258728
2015-01-20,KYBR,0.20144405909850693
